report_date,borough,community_districts,family_with_children_commercial_hotel,family_with_children_shelter,family_cluster
2026-01-31,Queens,8.0,158.0,297.0,0.0
2026-01-31,Queens,7.0,76.0,0.0,0.0
2026-01-31,Queens,6.0,0.0,244.0,0.0
2026-01-31,Bronx,1.0,223.0,1463.0,0.0
2026-01-31,Bronx,10.0,0.0,529.0,0.0
2026-01-31,Queens,5.0,0.0,231.0,0.0
2026-01-31,Queens,4.0,0.0,551.0,0.0
2026-01-31,Queens,3.0,1888.0,819.0,0.0
2026-01-31,Queens,2.0,993.0,267.0,0.0
2026-01-31,Queens,14.0,231.0,0.0,0.0
2026-01-31,Queens,13.0,0.0,579.0,0.0
2026-01-31,Queens,12.0,6299.0,1244.0,0.0
2026-01-31,Queens,11.0,174.0,0.0,0.0
2026-01-31,Queens,10.0,669.0,0.0,0.0
2026-01-31,Queens,1.0,3819.0,578.0,0.0
2026-01-31,Manhattan,9.0,0.0,574.0,0.0
2026-01-31,Manhattan,8.0,551.0,0.0,0.0
2026-01-31,Manhattan,7.0,960.0,332.0,0.0
2026-01-31,Manhattan,6.0,251.0,573.0,0.0
2026-01-31,Manhattan,5.0,2745.0,380.0,0.0
2026-01-31,Manhattan,4.0,1103.0,354.0,0.0
2026-01-31,Manhattan,3.0,93.0,95.0,0.0
2026-01-31,Manhattan,12.0,0.0,0.0,0.0
2026-01-31,Manhattan,11.0,0.0,466.0,0.0
2026-01-31,Manhattan,10.0,0.0,638.0,0.0
2026-01-31,Manhattan,1.0,373.0,0.0,0.0
2026-01-31,Brooklyn,9.0,0.0,423.0,0.0
2026-01-31,Brooklyn,8.0,0.0,553.0,0.0
2026-01-31,Brooklyn,7.0,313.0,362.0,0.0
2026-01-31,Brooklyn,6.0,116.0,505.0,0.0
2026-01-31,Brooklyn,5.0,673.0,1011.0,0.0
2026-01-31,Brooklyn,4.0,62.0,807.0,0.0
2026-01-31,Brooklyn,3.0,352.0,431.0,0.0
2026-01-31,Brooklyn,2.0,0.0,335.0,0.0
2026-01-31,Brooklyn,18.0,307.0,771.0,0.0
2026-01-31,Brooklyn,17.0,181.0,1571.0,0.0
2026-01-31,Brooklyn,16.0,595.0,2218.0,0.0
2026-01-31,Brooklyn,15.0,451.0,154.0,0.0
2026-01-31,Bronx,11.0,0.0,0.0,0.0
2026-01-31,Brooklyn,14.0,0.0,52.0,0.0
2026-01-31,Brooklyn,13.0,0.0,358.0,0.0
2026-01-31,Brooklyn,12.0,0.0,123.0,0.0
2026-01-31,Brooklyn,1.0,381.0,0.0,0.0
2026-01-31,Bronx,9.0,277.0,1508.0,0.0
2026-01-31,Bronx,8.0,0.0,575.0,0.0
2026-01-31,Bronx,7.0,210.0,968.0,0.0
2026-01-31,Bronx,6.0,1218.0,1791.0,0.0
2026-01-31,Bronx,5.0,155.0,1111.0,0.0
2026-01-31,Bronx,4.0,295.0,2040.0,0.0
2026-01-31,Bronx,3.0,0.0,1266.0,0.0
2026-01-31,Bronx,2.0,0.0,779.0,0.0
2026-01-31,Bronx,12.0,265.0,1083.0,0.0
2026-01-31,Staten Island,2.0,0.0,196.0,0.0
2026-01-31,Staten Island,1.0,41.0,478.0,0.0
2026-01-31,Queens,9.0,0.0,0.0,0.0
2025-12-31,Queens,11.0,170.0,,
2025-12-31,Queens,7.0,70.0,,
2025-12-31,Queens,8.0,161.0,310.0,
2025-12-31,Queens,9.0,,,
2025-12-31,Staten Island,1.0,46.0,469.0,
2025-12-31,Staten Island,2.0,,140.0,
2025-12-31,Bronx,1.0,215.0,1488.0,
2025-12-31,Bronx,10.0,,556.0,
2025-12-31,Bronx,11.0,,,
2025-12-31,Bronx,12.0,271.0,1063.0,
2025-12-31,Bronx,2.0,,752.0,
2025-12-31,Bronx,3.0,,1319.0,
2025-12-31,Bronx,4.0,300.0,2042.0,
2025-12-31,Bronx,5.0,150.0,1126.0,
2025-12-31,Bronx,6.0,1224.0,1807.0,
2025-12-31,Bronx,7.0,209.0,927.0,
2025-12-31,Bronx,8.0,,597.0,
2025-12-31,Bronx,9.0,279.0,1526.0,
2025-12-31,Brooklyn,1.0,379.0,,
2025-12-31,Brooklyn,12.0,,134.0,
2025-12-31,Brooklyn,13.0,,338.0,
2025-12-31,Brooklyn,14.0,,55.0,
2025-12-31,Brooklyn,15.0,445.0,164.0,
2025-12-31,Brooklyn,16.0,554.0,2244.0,
2025-12-31,Brooklyn,17.0,188.0,1589.0,
2025-12-31,Brooklyn,18.0,304.0,748.0,
2025-12-31,Brooklyn,2.0,,309.0,
2025-12-31,Brooklyn,3.0,455.0,425.0,
2025-12-31,Brooklyn,4.0,42.0,805.0,
2025-12-31,Brooklyn,5.0,674.0,1029.0,
2025-12-31,Brooklyn,6.0,114.0,494.0,
