report_date,year,month,Year-Month,family_with_children_shelter
2024-12-31,2024,12,2024-12,182
2024-12-31,2024,12,2024-12,2376
2024-12-31,2024,12,2024-12,1600
2024-12-31,2024,12,2024-12,819
2024-12-31,2024,12,2024-12,0
2024-12-31,2024,12,2024-12,0
2024-12-31,2024,12,2024-12,92
2024-12-31,2024,12,2024-12,355
2024-12-31,2024,12,2024-12,1249
2024-12-31,2024,12,2024-12,2143
2024-12-31,2024,12,2024-12,1081
2024-12-31,2024,12,2024-12,1801
2024-12-31,2024,12,2024-12,569
2024-12-31,2024,12,2024-12,406
2024-12-31,2024,12,2024-12,1550
2024-12-31,2024,12,2024-12,543
2024-12-31,2024,12,2024-12,0
2024-12-31,2024,12,2024-12,803
2024-12-31,2024,12,2024-12,1213
2024-12-31,2024,12,2024-12,0
2024-12-31,2024,12,2024-12,67
2024-12-31,2024,12,2024-12,415
2024-12-31,2024,12,2024-12,838
2024-12-31,2024,12,2024-12,458
2024-12-31,2024,12,2024-12,520
2024-12-31,2024,12,2024-12,389
2024-12-31,2024,12,2024-12,400
2024-12-31,2024,12,2024-12,348
2024-12-31,2024,12,2024-12,0
2024-12-31,2024,12,2024-12,0
2024-12-31,2024,12,2024-12,743
2024-12-31,2024,12,2024-12,0
2024-12-31,2024,12,2024-12,0
2024-12-31,2024,12,2024-12,985
2024-12-31,2024,12,2024-12,534
2024-12-31,2024,12,2024-12,348
2024-12-31,2024,12,2024-12,0
2024-12-31,2024,12,2024-12,673
2024-12-31,2024,12,2024-12,616
2024-12-31,2024,12,2024-12,529
2024-12-31,2024,12,2024-12,0
2024-12-31,2024,12,2024-12,313
2024-12-31,2024,12,2024-12,280
2024-12-31,2024,12,2024-12,739
2024-12-31,2024,12,2024-12,487
2024-12-31,2024,12,2024-12,232
2024-12-31,2024,12,2024-12,145
2024-12-31,2024,12,2024-12,0
2024-12-31,2024,12,2024-12,301
2024-12-31,2024,12,2024-12,0
2024-12-31,2024,12,2024-12,0
2024-12-31,2024,12,2024-12,0
2024-12-31,2024,12,2024-12,1368
2024-12-31,2024,12,2024-12,765
2024-12-31,2024,12,2024-12,157
2024-12-31,2024,12,2024-12,532
2024-12-31,2024,12,2024-12,0
2024-12-31,2024,12,2024-12,134
2024-12-31,2024,12,2024-12,417
2024-12-31,2024,12,2024-12,90
2024-11-30,2024,11,2024-11,1243
2024-11-30,2024,11,2024-11,0
2024-11-30,2024,11,2024-11,790
2024-11-30,2024,11,2024-11,1278
2024-11-30,2024,11,2024-11,2133
2024-11-30,2024,11,2024-11,1099
2024-11-30,2024,11,2024-11,1828
2024-11-30,2024,11,2024-11,569
2024-11-30,2024,11,2024-11,421
2024-11-30,2024,11,2024-11,1528
2024-11-30,2024,11,2024-11,557
2024-11-30,2024,11,2024-11,0
2024-11-30,2024,11,2024-11,802
2024-11-30,2024,11,2024-11,0
2024-11-30,2024,11,2024-11,74
2024-11-30,2024,11,2024-11,433
2024-11-30,2024,11,2024-11,848
2024-11-30,2024,11,2024-11,494
2024-11-30,2024,11,2024-11,517
2024-11-30,2024,11,2024-11,378
2024-11-30,2024,11,2024-11,355
2024-11-30,2024,11,2024-11,326
2024-11-30,2024,11,2024-11,0
2024-11-30,2024,11,2024-11,0
2024-11-30,2024,11,2024-11,138
2024-11-30,2024,11,2024-11,411
2024-11-30,2024,11,2024-11,88
2024-11-30,2024,11,2024-11,187
2024-11-30,2024,11,2024-11,2402
2024-11-30,2024,11,2024-11,1616
2024-11-30,2024,11,2024-11,857
2024-11-30,2024,11,2024-11,0
2024-11-30,2024,11,2024-11,0
2024-11-30,2024,11,2024-11,107
2024-11-30,2024,11,2024-11,382
2024-11-30,2024,11,2024-11,982
2024-11-30,2024,11,2024-11,487
2024-11-30,2024,11,2024-11,344
2024-11-30,2024,11,2024-11,0
2024-11-30,2024,11,2024-11,684
2024-11-30,2024,11,2024-11,618
2024-11-30,2024,11,2024-11,537
2024-11-30,2024,11,2024-11,0
2024-11-30,2024,11,2024-11,320
2024-11-30,2024,11,2024-11,278
2024-11-30,2024,11,2024-11,749
2024-11-30,2024,11,2024-11,508
2024-11-30,2024,11,2024-11,224
2024-11-30,2024,11,2024-11,86
2024-11-30,2024,11,2024-11,0
2024-11-30,2024,11,2024-11,297
2024-11-30,2024,11,2024-11,0
2024-11-30,2024,11,2024-11,0
2024-11-30,2024,11,2024-11,0
2024-11-30,2024,11,2024-11,1396
2024-11-30,2024,11,2024-11,802
2024-11-30,2024,11,2024-11,165
2024-11-30,2024,11,2024-11,552
2024-11-30,2024,11,2024-11,0
2024-11-30,2024,11,2024-11,0
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,552
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,1241
2024-10-31,2024,10,2024-10,1377
2024-10-31,2024,10,2024-10,854
2024-10-31,2024,10,2024-10,149
2024-10-31,2024,10,2024-10,780
2024-10-31,2024,10,2024-10,1285
2024-10-31,2024,10,2024-10,2222
2024-10-31,2024,10,2024-10,1398
2024-10-31,2024,10,2024-10,2015
2024-10-31,2024,10,2024-10,433
2024-10-31,2024,10,2024-10,394
2024-10-31,2024,10,2024-10,1535
2024-10-31,2024,10,2024-10,566
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,805
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,75
2024-10-31,2024,10,2024-10,429
2024-10-31,2024,10,2024-10,831
2024-10-31,2024,10,2024-10,513
2024-10-31,2024,10,2024-10,559
2024-10-31,2024,10,2024-10,387
2024-10-31,2024,10,2024-10,374
2024-10-31,2024,10,2024-10,330
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,142
2024-10-31,2024,10,2024-10,424
2024-10-31,2024,10,2024-10,90
2024-10-31,2024,10,2024-10,194
2024-10-31,2024,10,2024-10,2397
2024-10-31,2024,10,2024-10,1640
2024-10-31,2024,10,2024-10,801
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,99
2024-10-31,2024,10,2024-10,384
2024-10-31,2024,10,2024-10,977
2024-10-31,2024,10,2024-10,512
2024-10-31,2024,10,2024-10,356
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,692
2024-10-31,2024,10,2024-10,581
2024-10-31,2024,10,2024-10,529
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,319
2024-10-31,2024,10,2024-10,281
2024-10-31,2024,10,2024-10,763
2024-10-31,2024,10,2024-10,524
2024-10-31,2024,10,2024-10,246
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,282
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,0
2024-09-30,2024,9,2024-09,167
2024-09-30,2024,9,2024-09,691
2024-09-30,2024,9,2024-09,348
2024-09-30,2024,9,2024-09,563
2024-09-30,2024,9,2024-09,1003
2024-09-30,2024,9,2024-09,387
2024-09-30,2024,9,2024-09,107
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,828
2024-09-30,2024,9,2024-09,1590
2024-09-30,2024,9,2024-09,2420
2024-09-30,2024,9,2024-09,196
2024-09-30,2024,9,2024-09,88
2024-09-30,2024,9,2024-09,407
2024-09-30,2024,9,2024-09,135
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,346
2024-09-30,2024,9,2024-09,388
2024-09-30,2024,9,2024-09,349
2024-09-30,2024,9,2024-09,578
2024-09-30,2024,9,2024-09,504
2024-09-30,2024,9,2024-09,777
2024-09-30,2024,9,2024-09,439
2024-09-30,2024,9,2024-09,74
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,810
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,566
2024-09-30,2024,9,2024-09,1518
2024-09-30,2024,9,2024-09,380
2024-09-30,2024,9,2024-09,408
2024-09-30,2024,9,2024-09,1948
2024-09-30,2024,9,2024-09,1468
2024-09-30,2024,9,2024-09,2169
2024-09-30,2024,9,2024-09,1269
2024-09-30,2024,9,2024-09,802
2024-09-30,2024,9,2024-09,1231
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,582
2024-09-30,2024,9,2024-09,557
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,362
2024-09-30,2024,9,2024-09,296
2024-09-30,2024,9,2024-09,787
2024-09-30,2024,9,2024-09,542
2024-09-30,2024,9,2024-09,234
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,278
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,491
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,1389
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,836
2024-08-31,2024,8,2024-08,331
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,709
2024-08-31,2024,8,2024-08,622
2024-08-31,2024,8,2024-08,551
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,356
2024-08-31,2024,8,2024-08,291
2024-08-31,2024,8,2024-08,744
2024-08-31,2024,8,2024-08,517
2024-08-31,2024,8,2024-08,242
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,290
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,1403
2024-08-31,2024,8,2024-08,876
2024-08-31,2024,8,2024-08,166
2024-08-31,2024,8,2024-08,443
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,1047
2024-08-31,2024,8,2024-08,381
2024-08-31,2024,8,2024-08,111
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,860
2024-08-31,2024,8,2024-08,1590
2024-08-31,2024,8,2024-08,2370
2024-08-31,2024,8,2024-08,189
2024-08-31,2024,8,2024-08,92
2024-08-31,2024,8,2024-08,363
2024-08-31,2024,8,2024-08,129
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,344
2024-08-31,2024,8,2024-08,384
2024-08-31,2024,8,2024-08,363
2024-08-31,2024,8,2024-08,571
