nta_id,nta_name,borough,food_insecure_percentage,food_insecure_percentage_rank,unemployment_rate,unemployment_rate_rank,vulnerable_population_percentage,vulnerable_population_percentage_rank,supply_gap,weighted_score,total_sites,pantry_sites,kitchen_sites,weekday_sites,weekend_sites,cdta_id,total_families_with_children_shelter,high_shelter_flag,coverage_ratio,is_high_priority,coverage_category,coverage_category_label,has_kitchen,has_weekend,log_total_sites,log_coverage_ratio,priority_normalized,is_low_coverage,is_high_coverage
BK0104,East Williamsburg,Brooklyn,35.99,1,6.38,126,12.43,146,2776626.0961,8.221,1,1,0,1,0,BK01,0.0,0.0,0.027785495971103084,1,0,Low,0,0,0.6931471805599453,0.02740648375342329,1.0,1,0
BX0501,University Heights (South)-Morris Heights,Bronx,29.44,14,11.98,20,19.63,34,1669388.8684,8.0704,3,3,0,3,0,BX05,38815.0,1.0,0.10190217391304347,1,0,Low,0,0,1.3862943611198906,0.09703793538653668,0.9770185103233583,1,0
BX0901,Soundview-Bruckner-Bronx River,Bronx,22.63,36,10.06,32,21.43,25,1625975.8588,7.6866,4,3,1,1,3,BX09,31536.0,1.0,0.17675651789659744,1,1,High,1,1,1.6094379124341003,0.16276194018039486,0.9184508095405228,0,1
MN1202,Washington Heights (North),Manhattan,24.29,28,12.25,19,18.57,41,1463457.0199,7.3895,2,2,1,2,0,MN12,0.0,0.0,0.08233841086867023,1,0,Low,1,0,1.0986122886681098,0.07912389572770871,0.8731134882727258,1,0
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn,21.11,42,4.91,170,15.95,81,1907055.7504,7.2775,1,1,1,1,0,BK15,7847.0,0.0,0.047370914258645196,1,0,Low,1,0,0.6931471805599453,0.04628313300912569,0.8560223405716378,1,0
BX0403,Mount Eden-Claremont (West),Bronx,19.88,50,14.42,8,21.27,27,616739.6518,7.2076,3,3,0,3,1,BX04,52319.0,1.0,0.15090543259557346,1,1,High,0,1,1.3862943611198906,0.14054896528316918,0.8453556332117623,0,1
BX0702,Bedford Park,Bronx,30.06,12,13.33,13,24.55,17,640922.4202,7.1887,3,2,1,3,1,BX07,11174.0,0.0,0.0998003992015968,1,0,Low,1,1,1.3862943611198906,0.09512870806804968,0.8424715020372036,1,0
BX0601,West Farms,Bronx,34.35,2,16.58,2,16.67,64,464644.5264,7.1209,3,2,1,2,1,BX06,48601.0,1.0,0.08733624454148471,1,0,Low,1,1,1.3862943611198906,0.08373089291046797,0.8321252536967235,1,0
MN1201,Washington Heights (South),Manhattan,20.29,47,13.6,12,19.32,37,992331.3375,7.0871,2,2,0,2,1,MN12,0.0,0.0,0.09857072449482504,1,0,Low,0,1,1.0986122886681098,0.09400999356005411,0.8269673894797881,1,0
QN0301,Jackson Heights,Queens,17.62,68,9.09,49,26.41,12,1730635.8198,7.0706,4,3,1,4,0,QN03,19799.0,1.0,0.22701475595913734,1,1,High,1,0,1.6094379124341003,0.20458419170302877,0.8244494971845384,0,1
BX0101,Mott Haven-Port Morris,Bronx,31.43,7,13.11,15,15.27,90,189799.9432,6.903,7,6,1,5,2,BX01,28947.0,1.0,0.22271714922049,1,1,High,1,1,2.0794415416798357,0.20107555376727634,0.7988738154461246,0,1
BX0603,Belmont,Bronx,33.87,3,15.03,5,22.36,23,227731.8694,6.8898,2,2,0,2,0,BX06,48601.0,1.0,0.0590493061706525,1,0,Low,0,0,1.0986122886681098,0.05737162471451088,0.7968595016099249,1,0
BK0702,Sunset Park (West),Brooklyn,21.51,41,6.28,130,21.33,26,1242983.0474,6.8246,3,3,0,1,2,BK07,8686.0,0.0,0.1394700139470014,1,1,High,0,1,1.3862943611198906,0.13056325426038254,0.7869100120553632,0,1
MN0301,Chinatown-Two Bridges,Manhattan,17.43,70,11.55,24,18.02,46,714859.1279,6.804,0,0,0,0,0,MN03,4142.0,0.0,0.0,1,0,Low,0,0,0.0,0.0,0.7837664616746273,1,0
MN1101,East Harlem (South),Manhattan,21.65,40,8.97,54,12.97,135,884649.9346,6.7968,4,3,1,4,1,MN11,12996.0,0.0,0.18475750577367206,1,1,High,1,1,1.6094379124341003,0.16953811716827968,0.7826677450367001,0,1
BX0502,Mount Hope,Bronx,19.38,56,13.86,11,23.94,19,101509.5768,6.7318,4,4,0,3,1,BX05,38815.0,1.0,0.2063983488132095,1,1,High,0,1,1.6094379124341003,0.18763934958130218,0.7727487753887473,0,1
BX0402,Highbridge,Bronx,32.07,5,9.79,39,15.18,92,755612.1808,6.7024,3,2,1,3,1,BX04,52319.0,1.0,0.09354536950420954,1,0,Low,1,1,1.3862943611198906,0.08942505044702319,0.7682623491172116,1,0
BX0803,Riverdale-Spuyten Duyvil,Bronx,27.11,17,5.62,141,10.73,170,2022029.1425,6.6493,0,0,0,0,0,BX08,5714.0,0.0,0.0,1,0,Low,0,0,0.0,0.0,0.7601593139124995,1,0
BK1302,Coney Island-Sea Gate,Brooklyn,24.17,30,10.17,31,13.46,119,994956.76,6.6135,4,3,1,3,1,BK13,10211.0,0.0,0.16549441456350847,1,1,High,1,1,1.6094379124341003,0.15314538717288959,0.7546962506294731,0,1
BX1104,Allerton,Bronx,15.94,89,10.64,30,17.57,54,693814.7977,6.5994,0,0,0,0,0,BX11,0.0,0.0,0.0,1,0,Low,0,0,0.0,0.0,0.7525445972135324,1,0
BK1001,Bay Ridge,Brooklyn,17.16,74,6.07,134,13.66,117,1760897.7134,6.5749,2,2,0,1,1,BK10,0.0,0.0,0.11655011655011654,1,0,Low,0,1,1.0986122886681098,0.11024367848289826,0.7488059086539195,1,0
QN0402,Corona,Queens,14.1,113,6.68,117,32.09,6,679291.5649,6.4885,0,0,0,0,0,QN04,12802.0,0.0,0.0,1,0,Low,0,0,0.0,0.0,0.7356213089987945,1,0
QN0101,Astoria (North)-Ditmars-Steinway,Queens,20.1,49,7.72,82,13.15,132,1550913.7042,6.4451,0,0,0,0,0,QN01,15455.0,0.0,0.0,1,0,Low,0,0,0.0,0.0,0.7289984892646229,1,0
BK1101,Bensonhurst,Brooklyn,15.54,94,7.53,86,24.86,16,1055881.799,6.4179,5,5,2,5,0,BK11,0.0,0.0,0.32175032175032175,1,1,High,1,0,1.791759469228055,0.2789568595609108,0.7248477819657871,0,1
BK1602,Brownsville,Brooklyn,24.29,27,14.85,7,13.98,110,-397022.3107,6.4155,8,8,0,4,5,BK16,57721.0,1.0,0.32935364347468093,1,1,High,0,1,2.1972245773362196,0.2846928417561027,0.7244815430864782,0,1
BK0103,South Williamsburg,Brooklyn,14.54,107,8.79,58,7.7,193,718688.8672,6.4041,1,1,0,1,0,BK01,0.0,0.0,0.06877579092159561,1,0,Low,0,0,0.6931471805599453,0.06651387283412809,0.7227419084097603,1,0
BX0503,Fordham Heights,Bronx,16.19,83,14.27,9,26.83,11,-197167.6924,6.3576,3,2,1,2,1,BX05,38815.0,1.0,0.18529956763434216,1,1,High,1,1,1.3862943611198906,0.16999554233006475,0.7156460301231478,0,1
QN0401,Elmhurst,Queens,13.99,118,5.48,146,32.4,5,1105882.2112,6.3512,4,4,0,3,1,QN04,12802.0,0.0,0.28591851322373124,1,1,High,0,1,1.6094379124341003,0.25147325928505193,0.7146693931116571,0,1
BX0302,Claremont Village-Claremont (East),Bronx,31.58,6,14.92,6,12.72,139,-266831.0613,6.3124,4,3,1,3,1,BX03,30888.0,1.0,0.1266624445851805,1,1,High,1,1,1.6094379124341003,0.11925967341019306,0.7087485312294944,0,1
QN0502,Ridgewood,Queens,12.82,132,6.98,108,19.54,36,946858.3454,6.3122,4,4,0,2,2,QN05,6254.0,0.0,0.31201248049922,1,1,High,0,1,1.6094379124341003,0.271562203052278,0.7087180113228853,0,1
BX1203,Wakefield-Woodlawn,Bronx,19.28,57,9.24,44,15.28,89,357864.871,6.2935,1,1,0,0,1,BX12,13610.0,0.0,0.051867219917012444,1,0,Low,0,1,0.6931471805599453,0.05056688954058285,0.7058644000549358,1,0
