Weighted.Score,NTA,NTA.Name,Geometry,Latitude (generated),Longitude (generated),Food.Insecure.Percentage Rank,Food.Insecure.Percentage,Rank,sg abv ca Rank,Sg Abv Ca,Unemployment.Rate Rank,Unemployment.Rate,Vulnerable.Population.Percentage Rank,Vulnerable.Population.Percentage
8.221,BK0104,East Williamsburg,MultiPolygon,40.714788716,-73.932444471,1,35.99%,1,1,2776626.0961,126,6.38%,146,12.43%
8.0704,BX0501,University Heights (South)-Morris Heights,MultiPolygon,40.850930055,-73.918962946,14,29.44%,2,6,1669388.8684,20,11.98%,34,19.63%
7.6866,BX0901,Soundview-Bruckner-Bronx River,MultiPolygon,40.830598849,-73.872392593,36,22.63%,3,7,1625975.8588,32,10.06%,25,21.43%
7.3895,MN1202,Washington Heights (North),MultiPolygon,40.857729390,-73.935499710,28,24.29%,4,9,1463457.0199,19,12.25%,41,18.57%
7.2775,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,MultiPolygon,40.587224928,-73.933868201,42,21.11%,5,3,1907055.7504,170,4.91%,81,15.95%
7.2076,BX0403,Mount Eden-Claremont (West),MultiPolygon,40.840127951,-73.912376630,50,19.88%,6,48,616739.6518,8,14.42%,27,21.27%
7.1887,BX0702,Bedford Park,MultiPolygon,40.875694822,-73.892163851,12,30.06%,7,42,640922.4202,13,13.33%,17,24.55%
7.1209,BX0601,West Farms,MultiPolygon,40.841423870,-73.876683837,2,34.35%,8,67,464644.5264,2,16.58%,64,16.67%
7.0871,MN1201,Washington Heights (South),MultiPolygon,40.842277657,-73.943207992,47,20.29%,9,19,992331.3375,12,13.60%,37,19.32%
7.0706,QN0301,Jackson Heights,MultiPolygon,40.757243116,-73.889711224,68,17.62%,10,5,1730635.8198,49,9.09%,12,26.41%
6.903,BX0101,Mott Haven-Port Morris,MultiPolygon,40.806182777,-73.915961281,7,31.43%,11,107,189799.9432,15,13.11%,90,15.27%
6.8898,BX0603,Belmont,MultiPolygon,40.857581160,-73.886319906,3,33.87%,12,103,227731.8694,5,15.03%,23,22.36%
6.8246,BK0702,Sunset Park (West),MultiPolygon,40.654915604,-74.012761179,41,21.51%,13,10,1242983.0474,130,6.28%,26,21.33%
6.804,MN0301,Chinatown-Two Bridges,MultiPolygon,40.711798571,-73.994229156,70,17.43%,14,37,714859.1279,24,11.55%,46,18.02%
6.7968,MN1101,East Harlem (South),MultiPolygon,40.788564760,-73.943276135,40,21.65%,15,25,884649.9346,54,8.97%,135,12.97%
6.7318,BX0502,Mount Hope,MultiPolygon,40.848764136,-73.906053558,56,19.38%,16,114,101509.5768,11,13.86%,19,23.94%
6.7024,BX0402,Highbridge,MultiPolygon,40.837593529,-73.927407504,5,32.07%,17,31,755612.1808,39,9.79%,92,15.18%
6.6493,BX0803,Riverdale-Spuyten Duyvil,MultiPolygon,40.892041605,-73.910748108,17,27.11%,18,2,2022029.1425,141,5.62%,170,10.73%
6.6135,BK1302,Coney Island-Sea Gate,MultiPolygon,40.575664729,-73.985847742,30,24.17%,19,18,994956.76,31,10.17%,119,13.46%
